Ziagenavir ; Abacavir ; 
Permear ; Harpagophytum Procumbens ; 
Garra - As Ervas Curam ; Harpagophytum Procumbens ; 
Abrifit ; Hedera Helix ; 
Abrilar ; Hedera Helix ; 
Aremaz ; Hedera Helix ; 
Arlivry ; Hedera Helix ; 
Blumel ; Hedera Helix ; 
Blumel Hedera ; Hedera Helix ; 
Brondelix ; Hedera Helix ; 
Fluijet ; Hedera Helix ; 
Flyare ; Hedera Helix ; 
Hederax ; Hedera Helix ; 
Hedra Expec ; Hedera Helix ; 
Hevelair ; Hedera Helix ; 
Liberaflux ; Hedera Helix ; 
Phitoss ; Hedera Helix ; 
Respiratus ; Hedera Helix ; 
Torante ; Hedera Helix ; 
Gommage Lipo Tract ; Hedera Helix ; 
Resplix ; Hedera Helix ; 
Rasilez ; Hemifumarato De Alisquireno ; 
Rasilez AMLO ; Hemifumarato De Alisquireno ; 
Rasilez HCT ; Hemifumarato De Alisquireno + Hidroclorotiazida ; 
Concor ; Hemifumarato De Bisoprolol ; 
Concor HCT ; Hemifumarato De Bisoprolol ; 
Concárdio ; Hemifumarato De Bisoprolol ; 
Hemifumarato De Bisoprolol ; Hemifumarato De Bisoprolol ; 
Biconcor ; Hemifumarato De Bisoprolol + Hidroclorotiazida ; 
Fumarato Bisoprolol + Hidroclorotiazida ; Hemifumarato De Bisoprolol + Hidroclorotiazida ; 
Cotellic ; Hemifumarato De Cobimetinibe ; 
Hemifumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Atip ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Seroquel ; Hemifumarato De Quetiapina ; 
Aebol ; Hemifumarato De Quetiapina ; 
Atip XR ; Hemifumarato De Quetiapina ; 
Duoquel ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Fumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Hemifumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Hemifumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Hemifumarato de Quetiapina ; Hemifumarato De Quetiapina ; 
Aramin ; Hemitartarato De Metaraminol ; 
Hemitartarato De Norepinefrina ; Hemitartarato De Norepinefrina ; 
Hemitartarato De Norepinefrina ; Hemitartarato De Norepinefrina ; 
Hemitartarato de Norepinefrina ; Hemitartarato De Norepinefrina ; 
Hyponor ; Hemitartarato De Norepinefrina ; 
Norepine ; Hemitartarato De Norepinefrina ; 
Novanor ; Hemitartarato De Norepinefrina ; 
Astig ; Hemitartarato De Rivastigmina ; 
Exelon ; Hemitartarato De Rivastigmina ; 
Exelon Patch ; Hemitartarato De Rivastigmina ; 
Hemitartarato de Rivastigmina ; Hemitartarato De Rivastigmina ; 
Hemitartarato de Rivastigmina ; Hemitartarato De Rivastigmina ; 
Hemitartarato de Rivastigmina ; Hemitartarato De Rivastigmina ; 
Hemitartarato de Rivastigmina ; Hemitartarato De Rivastigmina ; 
Hemitartarato de Rivastigmina ; Hemitartarato De Rivastigmina ; 
Tigma ; Hemitartarato De Rivastigmina ; 
Vastigma ; Hemitartarato De Rivastigmina ; 
Vivencia ; Hemitartarato De Rivastigmina ; 
Hemitartarato de Zolpidem ; Hemitartarato De Zolpidem ; 
Hemitartarato de Zolpidem ; Hemitartarato De Zolpidem ; 
Hemitartarato de Zolpidem ; Hemitartarato De Zolpidem ; 
Hemitartarato de Zolpidem ; Hemitartarato De Zolpidem ; 
Hemitartarato de Zolpidem ; Hemitartarato De Zolpidem ; 
Insonox ; Hemitartarato De Zolpidem ; 
Lioram ; Hemitartarato De Zolpidem ; 
Noctiden ; Hemitartarato De Zolpidem ; 
Patz SL ; Hemitartarato De Zolpidem ; 
Sonotrat ; Hemitartarato De Zolpidem ; 
Sonotrat Cr ; Hemitartarato De Zolpidem ; 
Stilnox ; Hemitartarato De Zolpidem ; 
Stilnox CR ; Hemitartarato De Zolpidem ; 
Stilram ; Hemitartarato De Zolpidem ; 
Zolfest D ; Hemitartarato De Zolpidem ; 
Zolpaz ; Hemitartarato De Zolpidem ; 
Zolpirest ; Hemitartarato De Zolpidem ; 
Zylinox ; Hemitartarato De Zolpidem ; 
Zyparox ; Hemitartarato De Zolpidem ; 
Hemofol ; Heparina Sódica ; 
Hepamax S ; Heparina Sódica ; 
Alimax ; Heparina Sódica ; 
Trombofob Gel ; Heparina Sódica ; 
Trombofob Pomada ; Heparina Sódica + Nicotinato De Benzila ; 
Hemohes ; Hetamido ; 
Hyper Haes ; Hetamido ; 
Istarhes ; Hetamido ; 
Istarplas 200/0,5 ; Hetamido ; 
Istarplas S ; Hetamido ; 
Plasmin 450/0,7 ; Hetamido ; 
Venofundin ; Hetamido ; 
Triancil ; Hexacetonida De Triancinolona ; 
Hexomedine ; Hexamidina + Tetracaína ; 
Isetionato de Hexamidina + Cloridrato de Tetracaína ; Hexamidina + Tetracaína ; 
Isetionato de Hexamidina + Cloridrato de Tetracaína ; Hexamidina + Tetracaína ; 
Cystistat ; Hialuronato De Sódio ; 
Euflexxa ; Hialuronato De Sódio ; 
Fermathron ; Hialuronato De Sódio ; 
Hyabak ; Hialuronato De Sódio ; 
Lubrinat ; Hialuronato De Sódio ; 
Osteonil ; Hialuronato De Sódio ; 
Polireumin ; Hialuronato De Sódio ; 
RenehaVis ; Hialuronato De Sódio ; 
SportVis ; Hialuronato De Sódio ; 
Suprahyal ; Hialuronato De Sódio ; 
Suprahyal Duo ; Hialuronato De Sódio ; 
Esthelis Basic ; Hialuronato De Sódio ; 
Suplasyn ; Hialuronato De Sódio ; 
Viscoseal ; Hialuronato De Sódio ; 
Hyalozima ; Hialuronidase ; 
Postec ; Hialuronidase + Betametasona ; 
Apresolina ; Hidralazina ; 
Nepresol ; Hidralazina ; 
Clorana ; Hidroclorotiazida ; 
Diurix ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroclorotiazida ; Hidroclorotiazida ; 
Hidroflux ; Hidroclorotiazida ; 
Hidroless ; Hidroclorotiazida ; 
Hidromed ; Hidroclorotiazida ; 
Neo Hidroclor ; Hidroclorotiazida ; 
Clorizin ; Hidroclorotiazida ; 
Diureclor ; Hidroclorotiazida ; 
Naprix D ; Hidroclorotiazida + Ramipril ; 
Ecator H ; Hidroclorotiazida + Ramipril ; 
Ramipril + Hidroclorotiazida ; Hidroclorotiazida + Ramipril ; 
Triatec D ; Hidroclorotiazida + Ramipril ; 
Iguassina ; Hidroclorotiazida + Triantereno ; 
Hidrocortisona ; Hidrocortisona ; 
Cortison ; Hidrocortisona ; 
Stiefcortil ; Hidrocortisona ; 
Claquinona ; Hidroquinona ; 
Cleankinol ; Hidroquinona ; 
Hidropeek ; Hidroquinona ; 
Hidroquinona ; Hidroquinona ; 
Hidroquinona ; Hidroquinona ; 
Hidroquinona ; Hidroquinona ; 
Hidroquinona ; Hidroquinona ; 
Solaquin ; Hidroquinona ; 
Claripel ; Hidroquinona ; 
Lumiderm ; Hidroquinona ; 
Glyquin XM ; Hidroquinona + Ácido Glicólico ; 
Vênula ; Hidrosmina ; 
Radiesse ; Hidroxiapatita De Cálcio ; 
Plaquinol ; Hidroxicloroquina ; 
Reuquinol ; Hidroxicloroquina ; 
Sulfato de Hidroxicloroquina ; Hidroxicloroquina ; 
Cerumin ; Hidroxiquinolina + Trietanolamina ; 
Hydrea ; Hidroxiuréia ; 
Cronobe ; Hidroxocobalamina ; 
Alumimax ; Hidróxido De Alumínio ; 
Aziol ; Hidróxido De Alumínio ; 
Hidroximed 6% ; Hidróxido De Alumínio ; 
Hidróxido de Alumínio ; Hidróxido De Alumínio ; 
Pepsamar ; Hidróxido De Alumínio ; 
Aludroxil ; Hidróxido De Alumínio ; 
Alumime ; Hidróxido De Alumínio ; 
Aziram ; Hidróxido De Alumínio ; 
Gascol ; Hidróxido De Alumínio ; 
Gastrointestin ; Hidróxido De Alumínio ; 
Gastromax ; Hidróxido De Alumínio ; 
Gastronol ; Hidróxido De Alumínio ; 
Gastropept ; Hidróxido De Alumínio ; 
Gastrox ; Hidróxido De Alumínio ; 
Geldrox ; Hidróxido De Alumínio ; 
Gelnat ; Hidróxido De Alumínio ; 
Gelnat Composto ; Hidróxido De Alumínio ; 
Hidrotheo ; Hidróxido De Alumínio ; 
Hidrotheo Gel ; Hidróxido De Alumínio ; 
Hidroxido de Aluminio ; Hidróxido De Alumínio ; 
Droxaine ; Hidróxido De Alumínio + Associações ; 
Gelmax ; Hidróxido De Alumínio + Associações ; 
Mylanta Plus ; Hidróxido De Alumínio + Associações ; 
Ductogel ; Hidróxido De Alumínio + Associações ; 
Gaviz ; Hidróxido De Alumínio + Associações ; 
Silusgel ; Hidróxido De Alumínio + Associações ; 
Kolantyl ; Hidróxido De Alumínio + Hidróxido De Magnésio + Trissilicato De Magnésio ; 
Leite de Magnésia Phillips ; Hidróxido De Magnésio ; 
Magmax ; Hidróxido De Magnésio ; 
Creme Dental Phillips ; Hidróxido De Magnésio ; 
Gastrimec ; Hidróxido De Magnésio ; 
Leite Magnésia - Nativita ; Hidróxido De Magnésio ; 
Leite de Magnésia - Cimed ; Hidróxido De Magnésio ; 
Leite de Magnésia - Needs ; Hidróxido De Magnésio ; 
Acidina ; Hidróxido De Alumínio + Hidróxido De Magnésio ; 
Acidogel ; Hidróxido De Alumínio + Hidróxido De Magnésio ; 
Gascol Plus ; Hidróxido De Alumínio + Hidróxido De Magnésio ; 
Gatrimec Composto ; Hidróxido De Alumínio + Hidróxido De Magnésio ; 
Kollangel FF ; Hidróxido De Alumínio + Hidróxido De Magnésio ; 
Stongel ; Hidróxido De Alumínio + Hidróxido De Magnésio ; 
Stongel Vs ; Hidróxido De Alumínio + Hidróxido De Magnésio ; 
Synvisc ; Hilano G-F 20 ; 
Synvisc-One ; Hilano G-F 20 ; 
Filmcel ; Hipromelose ; 
Genteal ; Hipromelose ; 
Artelac ; Hipromelose + Cetrimida ; 
Artelac Rebalance ; Hipromelose + Cetrimida ; 
Rinidon ; Hydrastis Canadensis + Quercus Robur ; 
Fraxiparina ; Heparina + Nadroparina ; 
Oto-Xilodase ; Hialuronidase + Lidocaína + Neomicina ; 
Xilodase ; Hialuronidase + Lidocaína + Neomicina ; 
Selopress Zok ; Hidroclorotiazida + Metoprolol ; 
Selopress ; Hidroclorotiazida + Metoprolol ; 
Tenadren ; Hidroclorotiazida + Propranolol ; 
Gingilone ; Hidrocortisona + Neomicina ; 
Terra-Cortril ; Hidrocortisona + Oxitetraciclina ; 
Otosporin ; Hidrocortisona + Sulfato Neomicina + Sulfato Polimixina ; 
Dermovance Pés ; Hidroxietil Uréia + Pca + Lactato Sódio ; 
Gastrol ; Hidróxido Magnésio + Carbonato Cálcio + Hidróxido Alumínio ; 
Gastroliv ; Hidróxido Magnésio + Carbonato Cálcio + Hidróxido Alumínio ; 
Gastroftal ; Hidróxido Magnésio + Carbonato Cálcio + Hidróxido Alumínio ; 
Oticerim ; Hiperol ; 
Menogon ; Hormônio Folículo Estimulante + Hormônio Uteinizante ; 
Hidracal ; Hydrastis Canadensis ; 
Mm Expectorante ; Hyoscyamus Niger + Iodeto De Potassio + Lobelia ; 
Hipericin ; Hypericum Perforatum ; 
Hipérico ; Hypericum Perforatum ; 
Hyperativ ; Hypericum Perforatum ; 
Remotiv ; Hypericum Perforatum ; 
Iperisan ; Hypericum Perforatum ; 
Triativ ; Hypericum Perforatum ; 
Afrat ; Ibandronato De Sódio ; 
Bonviva ; Ibandronato De Sódio ; 
Ibandronato de Sódio ; Ibandronato De Sódio ; 
Ibandronato de Sódio ; Ibandronato De Sódio ; 
Osteoban ; Ibandronato De Sódio ; 
Osteotec ; Ibandronato De Sódio ; 
Sintezys ; Ibandronato De Sódio ; 
Ibandronato de Sódio ; Ibandronato De Sódio ; 
Osteomec ; Ibandronato De Sódio ; 
Imbruvica ; Ibrutinibe ; 
Advil ; Ibuprofeno ; 
Algy Flanderil ; Ibuprofeno ; 
Alivium ; Ibuprofeno ; 
Buprovil ; Ibuprofeno ; 
Buscofem ; Ibuprofeno ; 
Dalsy ; Ibuprofeno ; 
Doraliv ; Ibuprofeno ; 
Febsen ; Ibuprofeno ; 
Ibuflex ; Ibuprofeno ; 
Ibufran ; Ibuprofeno ; 
Ibuliv ; Ibuprofeno ; 
Ibupril ; Ibuprofeno ; 
Ibuprofeno ; Ibuprofeno ; 
Ibuprofeno ; Ibuprofeno ; 
Ibuprofeno ; Ibuprofeno ; 
Ibuprofeno ; Ibuprofeno ; 
Ibuprofeno ; Ibuprofeno ; 
Ibuprofeno ; Ibuprofeno ; 
Ibuprofeno ; Ibuprofeno ; 
Ibuprofeno ; Ibuprofeno ; 
Spidufen ; Ibuprofeno + Arginina ; 
Herpesine ; Idoxuridina ; 
Elaprase ; Idursulfase ; 
Evolox ; Ifosfamida ; 
Holoxane ; Ifosfamida ; 
Ifosfamida ; Ifosfamida ; 
Lifos ; Ifosfamida ; 
Ventavis ; Iloprosta ; 
Doriprex ; Imipeném + Cilastatina Sódica ; 
Imicil ; Imipeném + Cilastatina Sódica ; 
Imipeném + Cilastatina Sódica ; Imipeném + Cilastatina Sódica ; 
Imipeném + Cilastatina Sódica ; Imipeném + Cilastatina Sódica ; 
Imipeném + Cilastatina Sódica ; Imipeném + Cilastatina Sódica ; 
Imipeném + Cilastatina Sódica ; Imipeném + Cilastatina Sódica ; 
Imipeném Monoidratado + Cilastatina Sódica ; Imipeném + Cilastatina Sódica ; 
Imistat ; Imipeném + Cilastatina Sódica ; 
Penexil ; Imipeném + Cilastatina Sódica ; 
Tienam ; Imipeném + Cilastatina Sódica ; 
Tiepem ; Imipeném + Cilastatina Sódica ; 
Ixium ; Imiquimode ; 
Modik ; Imiquimode ; 
Aldara ; Imiquimode ; 
Imiquimode ; Imiquimode ; 
Imoxy ; Imiquimode ; 
Rhophylac ; Imunoglobulina ; 
Endobulin S/D ; Imunoglobulina ; 
Kamrho D ; Imunoglobulina ; 
Partogama SDF ; Imunoglobulina ; 
Rhesonativ ; Imunoglobulina ; 
Tetanogamma ; Imunoglobulina ; 
Hizentra ; Imunoglobulina Humana ; 
Imunoglobulin ; Imunoglobulina Humana ; 
Sandoglobulina ; Imunoglobulina Humana ; 
Sandoglobulina Privigen ; Imunoglobulina Humana ; 
Beriglobina ; Imunoglobulina Humana ; 
Flebogamma ; Imunoglobulina Humana ; 
Gama Anti-D Grifols ; Imunoglobulina Humana ; 
Gama Anti-Hepatite B Grifols ; Imunoglobulina Humana ; 
Gama Anti-Tetano Grifols ; Imunoglobulina Humana ; 
Gamaglobulina IM Grifols ; Imunoglobulina Humana ; 
Gammaplex ; Imunoglobulina Humana ; 
Gamunex ; Imunoglobulina Humana ; 
Hepatect Cp ; Imunoglobulina Humana ; 
Intratect ; Imunoglobulina Humana ; 
Octagam ; Imunoglobulina Humana ; 
Pentaglobin ; Imunoglobulina Humana ; 
Tegeline ; Imunoglobulina Humana ; 
Vigam Liquid ; Imunoglobulina Humana ; 
Dapamix ; Indapamida ; 
Flux ; Indapamida ; 
Flux SR ; Indapamida ; 
Indafix ; Indapamida ; 
Indapamida ; Indapamida ; 
Indapamida ; Indapamida ; 
Indapamida ; Indapamida ; 
Indapamida ; Indapamida ; 
Indapen Sr ; Indapamida ; 
Indatrat SR ; Indapamida ; 
Natrilix ; Indapamida ; 
Natrilix SR ; Indapamida ; 
Vasotrilix ; Indapamida ; 
Indapamida ; Indapamida ; 
Indapamida ; Indapamida ; 
Indapamida ; Indapamida ; 
Crixivan ; Indinavir ; 
Indocid ; Indometacina ; 
Remicade ; Infliximabe ; 
Infliximabe ; Infliximabe ; 
Remsima ; Infliximabe ; 
Berinert ; Inibidor De C1 Esterase Derivado De Plasma Humano ; 
Apidra ; Insulina ; 
Apidra SoloStar ; Insulina ; 
Humapen Savvio ; Insulina ; 
Novopen ; Insulina ; 
Novomix 30 ; Insulina Asparte ; 
Novorapid ; Insulina Asparte ; 
Insunorm 70/30 ; Insulina Bifásica ; 
Tresiba ; Insulina Degludeca ; 
Levemir ; Insulina Detemir ; 
Lantus ; Insulina Glargina ; 
Lantus SoloStar ; Insulina Glargina ; 
Toujeo ; Insulina Glargina ; 
Veluxus ; Insulina Glargina ; 
Humulin ; Insulina Humana ; 
Humulin N ; Insulina Humana ; 
Humulin NPH ; Insulina Humana ; 
Humulin R ; Insulina Humana ; 
Insunorm N ; Insulina Humana ; 
Insunorm R ; Insulina Humana ; 
Novolin N ; Insulina Humana ; 
Humalog ; Insulina Lispro ; 
Humalog Mix 25 ; Insulina Lispro ; 
Humalog Mix 50 ; Insulina Lispro ; 
Proleukin ; Interleucina ; 
Henetix ; Iobitridol ; 
Elixir 914 ; Iodeto De Potássio ; 
Xpe Neo ; Iodeto De Potássio ; 
Fluidelan ; Iodeto De Potássio ; 
Iodenax ; Iodeto De Potássio ; 
Iodeto de Potássio ; Iodeto De Potássio ; 
Iodeton ; Iodeto De Potássio ; 
Iodoflux ; Iodeto De Potássio ; 
Spekliv ; Iodeto De Potássio ; 
Xarope Santo Antonio ; Iodeto De Potássio ; 
Asmatoss Bals ; Iodeto De Potássio + Mentol ; 
Visipaque ; Iodixanol ; 
Hebrin ; Iodo + Óleo De Cade + Ácido Salicílico ; 
Filderme ; Iodopovidona ; 
Sabofen ; Iodopovidona ; 
Curativ ; Iodopovidona ; 
Virtiodine ; Iodopovidona ; 
Omnipaque ; Ioexol ; 
Iomeron ; Iomeprol ; 
Iopamiron ; Iopamidol ; 
Pamigraf ; Iopamidol ; 
Clarograf ; Iopromida ; 
Ultravist ; Iopromida ; 
Conray ; Iotalamato De Meglumina ; 
Pielograf Tomográfico ; Iotalamato De Meglumina ; 
Optiray ; Ioversol ; 
Yervoy ; Ipilimumab ; 
Aprovel ; Irbesartana ; 
Irbesartana ; Irbesartana ; 
Irbe ; Irbesartana ; 
Irbe H ; Irbesartana ; 
Lestric ; Irbesartana ; 
Aprozide ; Irbesartana + Hidroclorotiazida ; 
Bart H ; Irbesartana + Hidroclorotiazida ; 
Irbesartana + Hidroclorotiazida ; Irbesartana + Hidroclorotiazida ; 
Irbesartana + Hidroclorotiazida ; Irbesartana + Hidroclorotiazida ; 
Irbesartana + Hidroclorotiazida ; Irbesartana + Hidroclorotiazida ; 
Ironotel ; Irinotecano ; 
Forane ; Isoflurano ; 
Isoflurano ; Isoflurano ; 
Isoforine ; Isoflurano ; 
Isoran ; Isoflurano ; 
Isothane ; Isoflurano ; 
Doralgina ; Isometepteno + Dipirona Sódica + Cafeína ; 
Neosaldina ; Isometepteno + Dipirona Sódica + Cafeína ; 
Neosaldor ; Isometepteno + Dipirona Sódica + Cafeína ; 
Neralgyn ; Isometepteno + Dipirona Sódica + Cafeína ; 
Sedamed ; Isometepteno + Dipirona Sódica + Cafeína ; 
Tensaldin ; Isometepteno + Dipirona Sódica + Cafeína ; 
Besodin ; Isometepteno + Dipirona Sódica + Cafeína ; 
Cefalina ; Isometepteno + Dipirona Sódica + Cafeína ; 
Dipirona Sódica + Cloreto de Isometepteno + Cafeína ; Isometepteno + Dipirona Sódica + Cafeína ; 
Dipirona Sódica + Cloreto de Isometepteno + Cafeína ; Isometepteno + Dipirona Sódica + Cafeína ; 
Doridina ; Isometepteno + Dipirona Sódica + Cafeína ; 
Dorsaldina ; Isometepteno + Dipirona Sódica + Cafeína ; 
Migranette ; Isometepteno + Dipirona Sódica + Cafeína ; 
Sedalgina ; Isometepteno + Dipirona Sódica + Cafeína ; 
Sedol ; Isometepteno + Dipirona Sódica + Cafeína ; 
Isoniazida ; Isoniazida ; 
Isoniazida + Rifampicina ; Isoniazida + Rifampicina ; 
Isoniazida + Rifampicina ; Isoniazida + Rifampicina ; 
Acnova ; Isotretinoína ; 
Isotrat ; Isotretinoína ; 
Isotretinoína ; Isotretinoína ; 
Isotretinoína ; Isotretinoína ; 
Isotretinoína ; Isotretinoína ; 
Isotretinoína ; Isotretinoína ; 
Isotretinoína ; Isotretinoína ; 
Isotrex ; Isotretinoína ; 
Isotrexol ; Isotretinoína ; 
Roacutan ; Isotretinoína ; 
Itraconazol ; Itraconazol ; 
Itraconazol ; Itraconazol ; 
Itralex ; Itraconazol ; 
Itraspor ; Itraconazol ; 
Miconal ; Itraconazol ; 
Neo Itrax ; Itraconazol ; 
Sporanox ; Itraconazol ; 
Traxonol ; Itraconazol ; 
Estiranox ; Itraconazol ; 
Fungonax ; Itraconazol ; 
Itraconazol ; Itraconazol ; 
Itraconazol ; Itraconazol ; 
Itramicos ; Itraconazol ; 
Spozol ; Itraconazol ; 
Tracnox ; Itraconazol ; 
Traconal ; Itraconazol ; 
Ivermectina ; Ivermectina ; 
Ivermectina ; Ivermectina ; 
Iverneo ; Ivermectina ; 
Leverctin ; Ivermectina ; 
Revectina ; Ivermectina ; 
Vermectil ; Ivermectina ; 
Ivermec ; Ivermectina ; 
Plurimec ; Ivermectina ; 
Cerezyme ; Imiglucerase ; 
Thymoglobuline ; Imunoglobulina De Coelho ; 
Rebetol ; Inribavirina ; 
Ribavirin ; Inribavirina ; 
Ribavirin ; Inribavirina ; 
Ribavirina ; Inribavirina ; 
Viramid ; Inribavirina ; 
Virazole ; Inribavirina ; 
Elixir Inhame - Pharmascience ; Inhame ; 
Iodacif ; Iodo + Associações ; 
Fungiderm ; Iodo + Associações ; 
Tintura de Iodo - ADV ; Iodo + Associações ; 
Tintura de Iodo - Lapon ; Iodo + Associações ; 
Tintura de Iodo - Needs ; Iodo + Associações ; 
Osteoplus ; Ipriflavona ; 
Hizofito ; Isoflavona ; 
Soynati ; Isoflavona ; 
Andantol ; Isotipendil ; 
Isotrexin ; Isotretinoína + Eritromicina ; 
Broncho-Vaxom ; Klebsiella Pneumoniae + Associações ; 
Glutaflora ; L-Glutamina ; 
Lacipil ; Lacidipino ; 
Vimpat ; Lacosamida ; 
Perlatte ; Lactase ; 
Laclev ; Lactase ; 
Lactosil ; Lactase ; 
Paralac ; Lactase ; 
Digelac ; Lactase ; 
Lacday ; Lactase ; 
Lacdose ; Lactase ; 
Lactanon ; Lactase ; 
Lizalac ; Lactase ; 
Calcitran B12 ; Lactato De Cálcio + Vitamina B12 ; 
Primacor  ; Lactato De Milrinona ; 
Imolac ; Lactitol ; 
Osmolac ; Lactitol ; 
Sigmalac ; Lactitol ; 
Florastor ; Lactobacillus Acidophilus ; 
Leiba ; Lactobacillus Acidophilus ; 
Probiotil ; Lactobacillus Acidophilus ; 
Prolive ; Lactobacillus Acidophilus ; 
Zincopro ; Lactobacillus Acidophilus ; 
Bidrilac ; Lactobacillus Acidophilus + Bifidobacterium Lactis ; 
Probiatop ; Lactobacillus Acidophilus + Lactobacillus Casei + Lactobacillus Rhamnosus + Bifidobacterium Longum ; 
Simbioflora ; Lactobacillus Acidophilus + Lactobacillus Casei + Lactobacillus Rhamnosus + Bifidobacterium Longum ; 
Colact ; Lactulose ; 
Duphalac ; Lactulose ; 
Farlac ; Lactulose ; 
Lacmax ; Lactulose ; 
Lactu Z ; Lactulose ; 
Lactuliv ; Lactulose ; 
Lactulona ; Lactulose ; 
Normolax ; Lactulose ; 
Pentalac ; Lactulose ; 
Colonac ; Lactulose ; 
Inlact ; Lactulose ; 
Lactulose NutriMais ; Lactulose ; 
Lactunat Ameixa ; Lactulose ; 
Lactunat Frutas Vermelhas ; Lactulose ; 
Epivir ; Lamivudina ; 
Farmanguinhos Lamivudina ; Lamivudina ; 
Iquego Lamivudina ; Lamivudina ; 
Lami ; Lamivudina ; 
Lamivudina ; Lamivudina ; 
Vudirax ; Lamivudina ; 
Duplivir ; Lamivudina + Fumarato De Tenofovir Desoproxila ; 
Biovir ; Lamivudina + Zidovudina ; 
Lamivudina + Zidovudina ; Lamivudina + Zidovudina ; 
Lamitor ; Lamotrigina ; 
Lamotrigina ; Lamotrigina ; 
Bipogine ; Lamotrigina ; 
Exafob ; Lamotrigina ; 
Lamez ; Lamotrigina ; 
Lamictal ; Lamotrigina ; 
Lamitor Cd ; Lamotrigina ; 
Lamoctril ; Lamotrigina ; 
Lamorgin ; Lamotrigina ; 
Lamotrigina ; Lamotrigina ; 
Lamotrigina ; Lamotrigina ; 
Lamotrigina ; Lamotrigina ; 
Lamotrigina ; Lamotrigina ; 
Lamotrigina ; Lamotrigina ; 
Lamotrigina ; Lamotrigina ; 
Lamotrigina ; Lamotrigina ; 
Lamotrigina ; Lamotrigina ; 
Leptico ; Lamotrigina ; 
Neural (C1) ; Lamotrigina ; 
Nortrigin ; Lamotrigina ; 
Millar ; Lanolina Anidra Pura ; 
Lanogastro ; Lansoprazol ; 
Lansoprazol ; Lansoprazol ; 
Lansoprazol ; Lansoprazol ; 
Lansoprazol ; Lansoprazol ; 
Lansoprazol ; Lansoprazol ; 
Lansoprazol ; Lansoprazol ; 
Lanz ; Lansoprazol ; 
Lanzopept ; Lansoprazol ; 
Prazol ; Lansoprazol ; 
Ulcestop ; Lansoprazol ; 
H.Bacter ; Lansoprazol ; 
Kaprosol ; Lansoprazol ; 
Lampral ; Lansoprazol ; 
Lanzopran ; Lansoprazol ; 
Lispelin ; Lansoprazol ; 
Neozol ; Lansoprazol ; 
Lansoprazol + Claritromicina + Amoxicilina ; Lanzoprazol + Claritromicina + Amoxicilina ; 
Lansoprazol + Claritromicina + Amoxicilina ; Lanzoprazol + Claritromicina + Amoxicilina ; 
Pyloripac ; Lanzoprazol + Claritromicina + Amoxicilina ; 
Pyloripac IBP ; Lanzoprazol + Claritromicina + Amoxicilina ; 
Helicopac ; Lanzoprazol + Claritromicina + Amoxicilina ; 
Lanzoprazol + Claritromicina + Amoxicilina ; Lanzoprazol + Claritromicina + Amoxicilina ; 
Pyloritrat ; Lanzoprazol + Claritromicina + Amoxicilina ; 
Pyloritrat IBP ; Lanzoprazol + Claritromicina + Amoxicilina ; 
Pyloripac Retrat ; Lanzoprazol + Levofloxacina + Amoxicilina ; 
Aldurazyme ; Laronidase ; 
Arulatan ; Latanoprosta ; 
Drenatan ; Latanoprosta ; 
Latanoprosta ; Latanoprosta ; 
Xalatan ; Latanoprosta ; 
Latanoprosta ; Latanoprosta ; 
Latanoprosta ; Latanoprosta ; 
Latanoprosta ; Latanoprosta ; 
Xaloftal ; Latanoprosta ; 
Latanoprosta + Maleato de Timolol ; Latanoprosta + Maleato De Timolol ; 
Latonan ; Latanoprosta + Maleato De Timolol ; 
Xalacom ; Latanoprosta + Maleato De Timolol ; 
Latanoprosta + Maleato de Timolol ; Latanoprosta + Maleato De Timolol ; 
Latanoprosta + Maleato de Timolol ; Latanoprosta + Maleato De Timolol ; 
Arava ; Leflunomida ; 
Leflunomida ; Leflunomida ; 
Leflunomida ; Leflunomida ; 
Leflunomida ; Leflunomida ; 
